model,training time,image auroc value
CFA,1299s,45.08
CFLOW,4991s,76.38
CSFLOW,940s,54.14
DFKDE,229s,62.14
DFM,5987s,58.42
DRAEM,6919s,58.93
DSR,137580s,61.07
FASTFLOW,1020s,68.48
GANomaly,884s,46.76
PaDiM,340s,73.41
PatchCore,679s,83.61
RD,11021s,95.06
RKDE,347s,52.92
STFPM,2427s,71.21
UFLOW,54160s,75.34
