model,training time,image auroc value
CFA,2737s,75.32
CFLOW,16927s,87.12
CSFLOW,1660s,52.46
DFKDE,327s,72.09
DFM,528s,87.21
DRAEM,24690s,80.52
DSR,350887s,84.84
FASTFLOW,2261s,89.11
GANomaly,1562s,55.25
PaDiM,982s,84.19
PatchCore,4149s,91.66
RD,41113s,94.78
RKDE,734s,67.95
STFPM,3736s,84.95
UFLOW,217558s,93.99
