model,training time,image auroc value
CFA,4023s,60.54
CFLOW,14165s,95.71
CSFLOW,1728s,72.74
DFKDE,323s,75.72
DFM,773s,92.80
DRAEM,12291s,78.44
DSR,193188s,79.27
FASTFLOW,5282s,83.77
GANomaly,1417s,43.62
PaDiM,617s,89.97
PatchCore,961s,98.91
RD,26800s,97.98
RKDE,587s,75.43
STFPM,3815s,72.66
UFLOW,90776s,82.53
