model,training time,image auroc value
CFA,568s,65.93
CFLOW,3120s,94.06
CSFLOW,419s,42.53
DFKDE,78s,90.47
DFM,158s,95.29
DRAEM,7106s,85.84
DSR,79740s,88.24
FASTFLOW,467s,92.03
GANomaly,310s,50.05
PaDiM,322s,95.52
PatchCore,925s,93.59
RD,87622s,95.28
RKDE,181s,83.81
STFPM,775s,92.23
UFLOW,18066s,93.63
